Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,
428,veal thymus cooked,35,0.9,0.3,0.3,0.066,0,0,6.4,0,99.1,0.036,20.8,0,0.055,0.052,0.095,0.084,1,0.3,0.005,11.2,0,0.079,0,1.1,0.029,0.4,6.8,0.063,177.4,123.1,0.059,0.6,20,
429,beef brain cooked,68.8,5.56,1.31,1.4,0.81,0,0,4.41,0,700.25,0.06,24.83,0,0.05,0.0097,0.0057,0.09,1.33,0.2,0.14,1.16,0,0,0,3.16,0.08,0.78,5.27,0.01,135.49,124.25,0.009,0.47,15.07,
430,beef pancreas cooked,60.2,3.82,1.31,1.32,0.71,0,0,6.02,0,58.16,0.01,12.34,0,0.04,0.0093,0.0052,0.11,0.88,0.94,0.04,4.51,0,0,0,3.55,0.02,0.58,4.66,0.05,100.57,54.61,0.01,1.02,18.48,
431,beef tripe cooked,80,3.4,1.2,1.4,0.2,1.7,0,10,0,133.5,0.045,69.4,0,0,0.038,0.053,0,0.4,0.089,0,0,0,0.1,0,68.9,0,0.6,12.8,0.041,56.1,35.7,0.01,1.5,84.6,
432,chicken gizzard cooked,223,3.9,1,0.8,0.5,0,0,44.1,0,536.5,0.069,98.5,0,0.094,0.074,0.095,0.3,4.5,0.7,0.1,0,0,0.3,0,24.7,0.2,4.6,4.4,0.1,274.1,259.6,0.047,6.4,77.3,
433,pork pancreas cooked,537,26.5,9.1,9.2,5,0,0,69.8,0,771.8,0.1,147.7,0,0.2,0.086,0.058,1.6,7.9,11.6,1.1,14,0,0,0,39.2,0.3,6.6,56.4,0.5,713,411.6,0.2,10.5,156.1,
434,beef tongue cooked,80,6.3,2.3,2.9,0.2,0,0,5.5,0,37.4,0.029,16.4,0,0.042,0.007,0.072,0.025,1,0.2,0.067,0.4,0.067,0.074,0.049,1.4,0.048,0.7,4.2,0.03,41,52.1,0.065,1.2,14.3,
435,lamb heart cooked,353,15.1,6,4.2,1.5,3.7,0,47.7,0,475.6,0.1,122.6,0,0.3,0.006,0.051,2.3,8.3,2.6,0.6,13.4,0,0,0,26.7,1.2,10.5,45.8,0.1,485.1,359.1,0.04,7,117.1,
436,beef spleen cooked,447,12.9,4.3,3.4,1,0,0,77.3,0,1068.8,0.2,215.5,0,0.1,0.035,0.06,0.9,17.1,2.7,0.1,154.9,0,0,0,37,2.8,121.2,58.5,0.2,939.4,874.7,0.3,8.6,403.3,
437,veal kidneys cooked,300,10.4,3.2,2.3,2.1,0,0,48.4,0,1455.4,0.2,124.5,0.4,0.3,0.056,0.002,3.7,8.5,1.6,0.3,14.7,0,0,0,53.4,0.7,5.6,44.2,0.2,684.5,292.6,0.2,7.8,132.9,
438,chicken heart cooked,268,11.5,3.3,2.9,3.3,0.1,0,38.3,0,350.9,0.081,94,0.033,0.1,0.1,0.034,1.1,4.1,3.8,0.5,2.6,0,0,0,27.6,0.7,13.1,29,0.2,288.6,191.4,0.027,10.6,93.286,
439,lamb tongue cooked,70.1,5.17,2,2.55,0.32,0,0,5.5,0,48.2,0.02,14.75,0,0.02,0.0082,0.0027,0.11,0.94,0.09,0.04,1.79,0,0,0,2.55,0.05,0.67,4.08,0.0076,34.17,40.29,0.0072,0.76,15.68,
440,veal heart cooked,368,13.4,3.6,2.8,3.5,0.3,0,57.7,0,348.5,0.1,123.1,0,0.7,0.029,0.048,1.8,9.7,3.3,0.4,19.8,0,0,0,15.8,0.9,8.6,35.6,0.1,495,394,0.1,4.4,115.6,
441,chicken liver cooked,76,2.8,0.9,0.6,0.6,0.5,0,11.3,0,248.2,0.079,28.7,0.006,1.9,0.1,0.2,0.015,1,6.1,3.7,0.4,1.2,0,0.3,0,4.4,0.2,5.7,11.9,0.2,194.5,138.6,0.052,15.238,
442,lamb pancreas cooked,541,34.9,15.8,12.6,1.7,0,0,52.7,0,924,0.1,137.8,0,0.022,0.089,0.026,0.5,5.9,2,0.1,46.2,0,0,0,27.7,0.2,4.9,43.9,0.049,995.6,672.2,0.1,6.2,166.4,
443,veal spleen cooked,445,10,3.3,2.7,0.7,0,0,83.1,0,1542.2,0.2,245.8,0,0.2,0.022,0.051,1,18.4,0,0.2,138,0,0,0,24.2,3.2,25.4,48.3,0.3,1076.4,741.8,0.3,6.6,280.7,
444,lamb liver cooked,73.9,2.96,1.15,0.62,0.44,0.85,0,10.27,0,168.34,0.02,19.04,2.52,0.08,0.02,0.03,1.35,4.08,1.33,0.16,1.34,0,0,0,2.69,2.38,2.78,7.39,0.17,141.12,74.26,0.04,2.65,23.41,
445,turkey gizzard cooked,70,2.1,0.5,0.4,0.3,0,0,11.9,0,203.4,0.031,31.1,0.091,0.03,0.045,0.067,0.2,2.9,0.2,0.027,2.8,0,0.025,0,7.7,0.1,1.7,9.5,0.063,84.2,86.9,0.033,1.8,26.231,
446,lamp spleen cooked,460,14.1,4.7,3.7,1,0,0,78.1,0,1135.8,0.2,195.8,0,0.2,0.062,0.028,0.9,17.3,0,0.2,76.7,0,0,0,38.4,0.4,114.1,62,0.2,1006,731.6,0.1,11.6,321.4,
447,turkey heart cooked,35,1.5,0.4,0.3,0.4,0,0,5,0,71.8,0.046,13.4,0.085,0.07,0.091,0.089,0.3,1.6,0.3,0.1,0.6,0,0.013,0,4.2,0.2,1.4,5.6,0.017,48.2,40.6,0.001,0.9,12.759,
448,beef liver cooked,130,3.6,1.2,0.4,0.4,3.5,0,19.8,0,269.3,0.068,40,0.2,6.4,0.1,0.2,0.01,2.3,11.9,4.8,0.7,1.3,0.034,0.3,0.07,4.1,9.7,4.4,14.3,0.2,338,239.4,0.023,37.539,
449,lamb lungs cooked,431,11.8,4,3,1.6,0,0,75.7,0,1082,0.3,288.9,0.1,0.1,0.012,0.1,0.5,9.3,0,0.2,106.7,0,0,0,45.7,0.9,17.4,41.9,0.064,716.3,483.9,0.095,7.4,257.4,
450,pork brain cooked,527,36.3,8.2,6.6,5.6,0,0,46.4,0,9748.6,0.3,289.9,0,0.3,0.063,0.031,0.9,12.7,7,0.5,53.5,0,0,0,34.4,1,7,45.8,0.3,840.4,744.9,0.003,5.7,177.6,
451,goose liver,125,4,1.5,0.8,0.2,5.9,0,15.4,0,484.1,0.1,67.5,8.8,0.5,0.7,0.022,0.8,6.1,5.8,0.7,4.2,0,0,0,40.4,7.1,28.7,22.6,0,245.3,216.2,0.067,2.9,107.4,
452,pork kidneys cooked,211,6.6,2.1,2.2,0.5,0,0,35.6,0,672,0.1,96.2,0.1,0.6,0.098,0.028,2.2,8.1,4,0.6,14.8,0,0,0,18.2,1,7.4,25.2,0.2,336,200.2,0.4,5.8,82.7,
453,lamb brain cooked,503,35.3,9,6.4,3.6,0,0,43.5,0,7089.2,0.5,262.8,0,0.4,0.007,0.088,0.8,8.6,3.4,0.4,41.6,0,0,0,41.6,0.7,5.8,48.6,0.2,1169.4,711.4,0.066,4.7,167.8,
454,pork heart cooked,215,7.3,1.9,1.7,1.9,0.6,0,34.2,0,320.5,0.053,98.7,0.017,0.8,0.023,0,2.5,8.8,3.6,0.6,2.9,0,0,0,10.2,0.7,8.5,34.8,0.1,258.1,298.7,0.082,4.5,63.745,
455,lamb kidneys cooked,349,9.2,3.1,2,1.7,2.5,0,60.3,0,1440.8,0.4,179.6,0.3,0.9,0.2,0.2,5.3,15.3,5.2,0.3,30.6,0,0,0,45.9,0.9,31.6,51,0.4,739.5,453.9,0.6,9.7,180.4,
456,beef lungs cooked,364,11.2,3.8,2.9,1.5,0,0,61.8,0,839.3,0.3,231.5,0.095,0.1,0.062,0.09,0.4,7.6,1.9,0.066,99.1,0,0,0,33.3,0.7,16.4,30.3,0.015,539.3,524.2,0.2,5,221.858,
457,veal pancreas cooked,61.4,3.5,1.2,1.21,0.65,0,0,6.98,0,0,0.02,13.37,0,0.04,0.0068,0.0082,0.12,1,0,0.05,1.44,0,0,0,4.32,0.02,0.57,5.76,0.06,122.88,66.72,0.0098,1.25,16.81,
458,pork liver cooked,584,15.6,5,2.2,3.7,13.3,0,92.1,0,1256.7,0.2,227.7,19.1,0.9,0.6,0.071,7.8,29.9,16.9,2,83.5,0,0,0,35.4,2.2,63.4,49.6,1.1,853.1,531,0.2,23.8,322.4,
459,beef kidneys cooked,45,1.3,0.3,0.2,0.2,0,0,7.7,0,202.6,0.029,18.9,0,0.001,0.073,0.013,0.8,1.1,0.4,0.1,0,0.095,0.099,0,5.4,0.2,1.6,3.4,0.007,86,38.2,0.049,0.8,16,
460,turkey giblets cooked,164,6.3,1.6,1,1.5,0,0,25.1,0,495,0.1,63.3,0.095,4.4,0.2,0.3,0.063,1.5,8.2,2.2,0.5,0,0,0.1,0.014,17.1,0.7,3.2,23.8,0.2,236.6,168.2,0.072,32.643,
461,duck liver raw,60,2,0.6,0.3,0.3,1.6,0,8.2,0,226.6,0.089,31.6,5.3,0.2,0.3,0.046,0.4,2.9,2.7,0.3,2,0,0,0,4.8,2.6,13.4,10.6,0.1,118.4,101.2,0.069,1.4,37.3,
462,veal liver cooked,154,5,1.6,0.9,0.9,3,0,22.7,0,408.8,0.046,47.9,0.2,16.9,0.1,0.3,0.09,2.3,10.5,5.2,0.7,0.9,0,0.5,0.043,4.8,12,4.1,16,0.2,368,263.2,0.043,43.638,
463,pork lungs cooked,297,9.3,3.3,2.1,1.1,0,0,49.8,0,1161,0.2,240,0,0.2,0.069,0.049,1,4.1,2,0.2,23.7,0,0,0,24,0.2,49.2,36,0.029,558,453,0.085,7.4,156,
464,veal lungs cooked,312,7.9,2.7,2,1.1,0,0,56.2,0,789,0.2,232.8,0,0.072,0.032,0.016,0.4,6.9,0,0.2,102,0,0,0,21,0.7,10.8,24,0.082,696,426,0.067,3.6,197.9,
465,beef thymus cooked,121.5,9.52,3.28,3.29,1.78,0,0,8.32,0,112.01,0.04,20.13,0,0.03,0.0058,0.0092,0.09,0.7,0.75,0.03,11.51,0,0,0,3.81,0.02,0.57,3.81,0.04,138.68,164.97,0.0029,0.84,33.73,
466,ham,46,2.5,0.1,1.2,0.2,1,0.3,4.6,0.4,16,0.2,18.8,0,0.2,0.079,0.074,0.094,0.8,0.1,0.041,1.1,0.08,0.076,0,6.7,0.002,0.3,6.2,0.2,42.8,80.4,0.063,0.4,16.6,
467,pork meat cooked,283,14.1,4.4,6.8,2.1,0,0,14.1,0,112.6,0.7,79.2,0.02,0.8,0,0.044,0.3,11,0.7,0.7,0,0.095,0,0,10.7,0.082,0.7,41.5,0.077,369.8,615.1,0.048,2.6,39.657,
468,bacon roasted,43,3.3,1.1,1.5,0.4,0.1,0,3,0,8.8,0.034,1,0,0.037,0.05,0.007,0.081,0.015,0.9,0.051,0.09,0,0.002,0.039,0.097,0.9,0.096,0.1,2.6,0.003,42.6,45.2,0.09,6.516,
469,pork top loin roasts raw,364.4,18.28,3.51,4.08,1.43,0,0,46.84,0,140.48,0.1,153.96,0.009,0.94,0,0.0075,0.4,12.22,1.58,1.58,0,0.0042,0.26,0,15.37,0.12,1.16,52.68,0.02,474.12,785.81,0.06,3.8,81.6574,
470,pork blade roll raw,76,6.2,2.2,2.8,0.7,0,0,4.7,0,15,0.4,16.7,0,0.2,0.076,0.08,0.089,0.8,0.2,0.097,0.014,0,0,0,2,0.084,0.2,3.7,0.042,56.3,83.5,0.078,0.7,13.143,
471,pork backribs raw,239.9,17.49,6.19,7.35,2.87,0,0,20.42,0,73.9,0.09,67.98,0.0035,0.49,0,0.0028,0.33,7.26,0.88,0.45,0,0.0025,0.26,0,33.2,0.1,0.81,17.14,0.0085,164.93,264.54,0.03,2.72,71.9224,
472,pork spareribs cooked,70.3,5.36,1.97,2.39,0.48,0,0,5.14,0,21.42,0.02,7.15,0.0065,0.07,0.0022,0.0016,0.07,0.97,0.13,0.06,0,0.0043,0.06,0,8.32,0.03,0.33,4.25,0.0083,46.2,56.64,0.0092,0.81,19.1598,
473,pork stomach cooked,44,2.1,0.8,0.6,0.2,0.029,0,6.1,0,89.4,0.035,20,0,0.08,0.09,0.067,0.05,0.4,0.2,0.038,0,0,0.087,0,4.2,0.048,0.3,4.2,0.015,36.5,24.1,0.077,0.8,12.779,
474,honey smoked ham cooked,67,1.3,0.6,0.9,0.2,4,0,9.9,0,12.1,0.5,38.5,0,0.2,0.013,0.091,0.097,1.3,0.1,0.1,0.3,0,0,0,3.3,0.039,0.2,4.4,0.096,211.2,90.8,0.099,0.5,19,
475,boston butt steak raw,84.4,5.61,1.97,2.36,0.72,0,0,7.9,0,28.12,0.03,31.38,0.0051,0.24,0,0.0088,0.16,1.92,0.66,0.22,0,0.0028,0.1,0,7.26,0.04,0.51,9.07,0.0098,86.18,144.24,0.01,1.4,21.2848,
476,pork sirloin chops cooked,140,4.5,1.5,1.8,0.8,0,0,23.3,0,65.6,0.001,53.9,0.075,0.075,0.5,0,0.07,0.2,6.4,0.8,0.4,0,0.01,0.1,0,9,0.012,0.6,20.5,0.073,238.6,337,0.043,28.239,
477,pork country style ribs raw,242,15.1,3,3.5,1.2,0,0,24.8,0,94.7,0.061,87.3,0.009,0.5,0,0.055,0.3,3.9,2.1,0.7,0,0.028,0.3,0,28.2,0.023,1.1,26.9,0.072,247,407,0.048,3.6,69.223,
478,ham patties,205,18.3,6.6,8.6,2,1.1,0,8.3,0,45.5,0.7,35.4,0,0.3,0.061,0.084,0.1,2,0.2,0.1,0,0,0,0,5.2,0.039,0.7,6.5,0.064,96.9,155.4,0.075,1,33.6,
479,pork feet cooked,67,4.5,1.2,2.3,0.4,0,0,6.2,0,30.3,0.046,17.8,0,0.08,0.014,0.048,0.029,0.2,0.047,0.081,0,0,0.054,0,0,0.014,0.3,1.4,0.017,23.2,9.3,0.04,0.3,11,
480,ground pork cooked,93,6.5,2.42,2.9,0.59,0,0,8.04,0,29.42,0.02,16.51,0.001,0.22,0.0005,0.0058,0.07,1.32,0.16,0.12,0.22,0.0066,0.07,0,6.89,0.01,0.4,7.51,0.0081,70.74,113.31,0.01,1,22.0513,
481,pork centre loin chops cooked,328,17.4,5.5,6.6,2.1,0,0,40.2,0,131.9,0.065,97.8,0.2,0.021,0.9,0,0.059,0.4,12.8,1,1.1,0,0.089,0.2,0,37.7,0.1,1.2,39.3,0.005,345.4,540.1,0.07,59,
482,pork leg cap steak cooked,307,8.6,2.6,3.7,1.1,0,0,53.5,0,157.1,0.1,133.3,0,0.9,0.071,0.068,0.8,15.9,1.5,0.8,0,0,0.2,0,13.6,0.1,1.9,44.6,0.061,428.7,710,0.035,8,77.6,
483,pork blade chops raw,376,15.4,5.2,6.1,2.1,0,0,55.8,0,155.2,0.2,191.6,0.039,1.4,0,0.055,0.9,18.7,2.9,1.2,0,0.067,0.5,0,78.9,0.2,1.9,47.3,0.059,594.4,823.2,0.038,7.2,152.089,
484,pork tenderloin raw,60.6,1.78,0.6,0.68,0.28,0,0,10.43,0,32.83,0.03,37.86,0,0.5,0,0.0023,0.17,3.34,0.42,0.39,0,0.0075,0.11,0,3.03,0.04,0.49,13.64,0.0098,122.72,198.47,0.02,0.94,15.73,
485,pork sirloin chops raw,109,2.33,0.82,0.99,0.37,0,0,20.55,0,56.76,0.06,66.94,0.0023,0.55,0,0.0083,0.23,6.62,0.66,0.55,0,0.0005,0.15,0,8.11,0.06,0.5,20.72,0.0094,226.15,318.95,0.03,1.55,31.4931,
486,pork leg cap steak raw,284,7.8,2.7,3.9,1.2,0,0,50,0,145.5,0.2,173.7,0,1.2,0.004,0.072,1,16.4,1.9,1.3,0,0,0.2,0,16.2,0.1,1.9,50.8,0.069,478.2,843.2,0.009,7.3,75.9,
487,pork carcass raw,170.6,15.91,5.64,7.23,1.72,0,0,6.31,0,33.57,0.02,22.6,0.0007,0.27,0.0002,0.0096,0.09,1.74,0.24,0.13,0.18,0,0.13,0,8.62,0.02,0.31,5.9,0.0081,70.31,114.76,0.01,0.72,31.3327,
488,pork splean cooked,446,9.6,3.2,2.6,0.7,0,0,84.3,0,1507,0.3,199.4,0,0.4,0.002,0.071,0.8,17.8,2.7,0.2,34.7,0,0,0,38.9,0.4,66.5,44.9,0.1,846.2,678.7,0.1,10.6,234,
489,chopped ham,50,2.9,1,1.4,0.4,1.2,0,4.6,0,16.5,0.3,18.3,0,0.2,0.008,0.006,0.035,1.1,0,0.01,0,0.025,0.087,0,2,0.049,0.2,4.5,0,43.4,89.3,0.098,0.5,10.9,
490,pork centre loin chops raw,338,18,6,7.1,2.4,0,0,41.2,0,137.3,0.1,138.7,0.048,1,0,0.02,0.4,13.2,1.4,1.4,0,0.062,0.2,0,37.8,0.1,1.3,49.8,0.096,415.9,682.6,0.052,3.5,98.301,
491,pork blade chops cooked,265,14.6,4.3,5.1,1.9,1.1,0,32.4,0,100.9,0.072,81.4,0.069,0.8,0,0.068,0.3,10.1,1.5,0.7,0,0.028,0.3,0,10.5,0.1,1.2,31.4,0.076,355,533.2,0.085,3,59.882,
492,boston butt steak cooked,494,32.7,12.2,14.8,3.8,0,0,46.4,0,181.3,0.1,101.7,0.066,0.9,0,0.064,0.7,7.2,2.4,0.8,0,0.051,0.2,0,48.1,0.2,3.2,42.6,0.063,384.8,564.3,0.04,9,130.498,
493,pork meat raw,179,18.6,6.2,7.9,3.7,0,0,2.6,0,20.4,0.021,7,0.094,0.05,0,0.086,0.059,0.7,0.1,0.07,0,0.055,0.1,0,4,0.076,0.07,1.7,0,23.8,94.2,0.046,0.2,25.261,
494,pork top loin chops raw,287,12.8,4.5,5.5,1.6,0,0,39.9,0,124,0.099,130.2,0.074,1.2,0,0.087,0.3,14.8,1.3,1.3,0,0.089,0.2,0,13,0.1,0.9,48.1,0.02,418.1,690.1,0.096,2.9,66.684,
495,pork blade steak braised,69.4,4.47,1.66,2.01,0.53,0.0087,0,6.82,0,25.61,0.04,14.82,0.04,0,0.11,0,0.01,0.09,0.95,0.35,0.12,0,0.0032,0.03,0,7.13,0.05,0.45,5.28,0.006,59.93,97.68,0.01,11.5063,
496,pork boston steaks cooked,438,28.1,10.1,12.5,2.5,0,0,43.2,0,160.6,0.1,96.8,0.06,1.2,0.096,0.046,0.7,6.9,1.2,0.5,0.5,0.091,0.5,0,60.8,0.003,2.4,35.5,0.037,354.9,550.9,0.06,7.6,135.049,
497,bacon cooked,43,3.1,1.1,1.4,0.5,0.068,0,3.5,0,10.1,0.2,1.9,0.053,0,0.031,0,0.037,0.066,1,0.1,0.047,0,0,0.009,0,1.2,0.047,0.1,3.1,0.071,35.4,47.8,0.064,6.747,
498,pickled pork hocks,48,3,0.9,1.5,0.3,0,0,5.4,0,25.2,0.3,19.2,0.055,0.056,0.058,0.061,0.066,0.3,0.02,0.047,0,0,0.047,0,5.4,0.063,0.3,1.7,0.018,17,13.3,0.089,0.7,14.146,
499,pork boston roast cooked,70.5,4.94,1.83,2.17,0.46,0,0,6.05,0,22.53,0.02,15.06,0.0061,0.17,0.0084,0.0041,0.09,1.06,0.17,0.06,0.18,0.0029,0.05,0,7.34,0.03,0.38,4.72,0.0052,51.61,86.98,0.0022,1.04,18.8948,
500,canadian style bacon grilled,43,2,0.7,0.9,0.2,0.3,0,5.7,0,13.6,0.4,14.5,0,0.2,0.07,0.03,0.054,1.6,0.1,0.1,0,0.048,0.061,0,2.4,0.043,0.2,4.9,0.023,69.6,91.7,0.058,0.4,10.6,
501,ham steak,70,2.4,0.8,1.1,0.3,0,0,11.1,0,25.7,0.7,41.2,0,0.5,0.064,0.08,0.1,2.9,0.4,0.2,18.4,0,0,0,2.3,0.05,0.6,10.8,0.011,148.2,185.3,0.068,1.2,34.8,
502,pork backfat,368.3,40.23,14.61,19.03,4.69,0,0,1.32,0,25.86,0.0064,3.49,0.0032,0.04,0.0072,0.0035,0.02,0.45,0.05,0.02,0.05,0.0003,0,0,0.91,0.0094,0.08,0.91,0.0082,17.24,29.48,0.0063,0.17,42.5932,
503,bacon baked,44,3.5,1.1,1.5,0.4,0.1,0,2.9,0,8.7,0.2,1,0,0.052,0.09,0.095,0.053,0.058,0.9,0.077,0.084,0,0,0.038,0.047,0.8,0.054,0.1,2.4,0.078,41,43.7,0.003,6.673,
504,pork arm picnic raw,529.8,34.34,11.36,14.73,6.79,0,0,51.36,0,172.94,0.23,187.59,0.01,1.61,0,0.004,0.68,12.4,2.79,1.21,0,0.0064,0.58,0,32.94,0.2,1.56,49.41,0.03,549,1133.69,0.06,5.9,120.21,
505,salt pork raw,212,22.8,8.3,10.7,2.7,0,0,1.4,0,24.3,0.8,3.1,0,0.054,0.011,0.049,0.01,0.5,0.078,0.048,0,0.035,0,0,1.7,0.053,0.1,2,0.073,14.7,18.7,0.056,0.3,26,
506,pork arm picnic cooked,529.2,32.27,10.93,13.9,6.27,0,0,56.03,0,193.67,0.22,135.19,0.0007,0.99,0.01,0.0086,0.73,11.95,2.7,0.78,0,0.0062,0.59,0,36.03,0.24,2.07,49.54,0.05,540.48,803.96,0.07,6.98,126.4074,
507,pork top loin chops cooked,270,11.2,4.3,4.9,1.7,0,0,39.4,0,97.2,0.064,84.3,0.062,0.02,0.7,0,0.067,0.3,13.4,1.4,0.7,0,0.043,0.3,0,16.2,0.1,1.2,31.1,0.052,298.4,352.4,0.079,51.481,
508,ground pork raw,329,26.5,9.8,11.8,2.4,0,0,21.1,0,90,0.033,76.3,0.034,0.9,0.055,0.005,0.3,5.4,0.8,0.5,0.9,0,0,0,17.5,0.08,1.1,23.8,0.083,218.8,358.8,0.039,2.8,67.15,
509,pork shoulder raw,107,8.16,2.83,3.63,0.87,0,0,7.79,0,32.21,0.03,29.04,0.0087,0.35,0.0077,0.0034,0.12,1.74,0.33,0.16,0.32,0.0025,0.09,0,6.8,0.04,0.48,8.16,0.0083,82.56,136.99,0.01,1.22,23.5572,
510,pork chitterlings cooked,66,5.8,2.7,2,0.3,0,0,3.5,0,78.4,0.078,19.2,0,0,0.099,0.024,0.056,0.093,0.065,0.059,0,0,0,0.083,0,7.1,0.056,0.4,2.5,0.033,18.7,4,0.07,9.329,
511,pork breakfast strips cooked,52,4.1,1.4,1.9,0.6,0.1,0,3.3,0,11.9,0.2,3,0,0.039,0.02,0.02,0.073,0.9,0.1,0.068,0,0.066,0.057,0,1.6,0.054,0.2,2.9,0.085,29.9,52.7,0.061,0.4,9.3,
512,pork blade roll roasted,107.9,8.83,3.15,4.15,0.94,0.14,0,6.5,0,25.19,0.37,21.12,0,0.17,0.0032,0.0007,0.11,0.89,0.29,0.08,1.2,0,0,0,2.63,0.03,0.33,4.89,0.0098,58.66,72.94,0.01,0.92,19.63,
513,pork tail cooked,108.9,9.85,3.42,4.64,1.08,0,0,4.68,0,35.48,0.0093,12.84,0,0.02,0.0002,0.0061,0.02,0.31,0.12,0.07,0,0,0,0,3.85,0.02,0.22,1.93,0.0087,12.93,43.18,0.0087,0.45,18.6,
514,pork centre rib roasts raw,275,9.7,3.3,4,1.1,0,0,44,0,113.1,0.1,146.2,0,1,0,0.094,0.4,13.5,1.5,1.5,0,0.072,0.3,0,48.5,0.1,1.2,50.5,0.053,436.3,725.2,0.05,4,103.4,
515,pork centre rib roasts roasted,194.2,11.49,4.26,4.84,1.94,0,0,21.13,0,61.07,0.07,45.23,0.08,0.0041,0.41,0,0.0018,0.23,7.43,1.16,0.38,0,0.0094,0.16,0,14.88,0.07,0.75,16.44,0.0063,180.09,212.98,0.03,33.15,
516,minced ham,55,4.3,1.5,2,0.5,0.4,0,3.4,0,14.7,0.3,12,0,0.1,0.094,0.059,0.073,0.9,0.094,0.081,0,0.058,0.012,0,2.1,0.029,0.2,3.4,0.074,33,65.3,0.048,0.4,10.4,
517,ham roasted,316,21.3,7.1,9.9,2.5,0.6,0,28.7,0,86.8,1.3,85.3,0,1.1,0.033,0.054,0.4,7.4,1,0.4,19.6,0,0,0,11.2,0.2,1.9,23.8,0.084,340.2,499.8,0.053,3.5,83.3,
518,pork loin raw,232,14.7,5.1,6.6,1.6,0,0,23.1,0,73.7,0.003,78.3,0.049,1.1,0.013,0.019,0.3,5.4,0.8,0.6,0.7,0.044,0.2,0,21.1,0.037,0.9,24.6,0.066,230.5,416.5,0.013,2,60.563,
519,pork backribs roasted,256.4,18.89,6.85,8.16,3.1,0,0,20.2,0,73.75,0.08,48.13,0.17,0.0023,0.4,0,0.008,0.29,6.7,1.11,0.36,0,0.0068,0.22,0,40.39,0.09,0.81,14.93,0.0065,144.87,210.72,0.03,39.71,
520,pork belly raw,235,24.05,8.77,11.2,2.56,0,0,4.24,0,32.66,0.01,16.67,0.0095,0.18,0.0088,0.0075,0.11,2.11,0.12,0.06,0.14,0,0.18,0,2.27,0.02,0.24,1.81,0.001,48.99,83.92,0.0085,0.46,30.9486,
521,ham raw,266,18.2,6,8.7,2.1,0.046,0,23.8,0,54.6,1.5,93.2,0,1.3,0.021,0.034,0.3,4.5,0.6,0.7,0,0.054,0.3,0,8.4,0.075,1.2,19.6,0.063,245,442.4,0.065,2.3,51.697,
522,ham extra lean,45,2.3,0.8,1.1,0.3,0.6,0,5.1,0,14.8,0.4,18.7,0,0.2,0.022,0.097,0.028,1.4,0.1,0.1,0,0.094,0.04,0,2,0.075,0.3,5,0.049,66.1,83.2,0.041,0.6,10.3,
523,pork feet pickled,63.5,4.55,1.34,2.58,0.36,0.0029,0,5.28,0,37.65,0.43,34.02,0.0098,0.0031,0.0061,0.0003,0.0085,0.1,0.12,0.0058,0,0.001,0.1,0,14.52,0.02,0.14,4.99,0.0049,39.46,5.9,0.0003,0.09,24.5019,
524,pork shoulder cooked,394,28.9,10.6,12.8,2.8,0,0,31.4,0,121.5,0.001,74,0.004,0.8,0.065,0.007,0.4,5.4,0.8,0.4,0.7,0.007,0.3,0,32.4,0.2,1.8,24.3,0.084,286.2,444.2,0.026,5,95.226,
525,pork top loin roasts roasted,162.8,7.48,2.41,2.98,0.85,0,0,22.43,0,67.84,0.04,54.07,0.07,0.0011,0.46,0,0.0051,0.2,6.02,0.57,0.59,0,0.0017,0.09,0,5.94,0.07,0.54,21.2,0.0052,189.1,295.95,0.03,30.64,
526,pork skin,154,8.9,3.2,4.2,1,0,0,17.3,0,26.9,0.5,0.5,0.037,0.009,0,0.036,0.034,0.4,0.1,0.096,0.1,0,0.1,0,8.5,0.033,0.2,3.1,0.066,24.1,35.9,0.062,0.2,35.03,
527,pork country style ribs cooked,235,15.2,5.4,6.6,1.8,0,0,22.8,0,88.6,0.049,46.4,0.098,0.4,0,0.016,0.2,4.8,1.2,0.4,0,0.09,0.1,0,29.2,0.072,1.2,19.8,0.025,173.7,247.7,0.026,3.6,68.402,
528,pork blade steak raw,66.4,4.37,1.54,1.84,0.56,0.06,0,6.76,0,24.37,0.06,27.65,0,0.19,0,0.001,0.13,1.48,0.56,0.19,0,0.0083,0.08,0,5.9,0.05,0.38,7.07,0,82.92,153.66,0.01,1.11,17.47,
529,pork tenderloin cooked,153,6.2,2.2,2.5,0.6,0,0,22.7,0,71.4,0.091,46.4,0.017,0.7,0.051,0.014,0.3,3.8,0.7,0.4,0.8,0,0,0,3.8,0.045,1.1,26.6,0.072,220.4,337.4,0.082,2.2,34.679,
530,pork loin cooked,213,12.1,4.5,5.4,1,0,0,24.2,0,71.2,0.077,51.9,0.008,0.6,0.066,0.024,0.2,3.9,0.6,0.3,0.5,0.007,0.2,0,18.7,0.006,1,16.9,0.033,161.1,332.9,0.02,2.1,56.575,
